collection_id	collection_name	yoyo_id	primary_store
4576	Sparte		
4577	Spillray	axo-light-spillray-collection	yl
4578	Spire		
4579	Sportster		
4582	Spun Light		
4583	Square		
4584	Square Swing Arm		
4585	Staffa ADA		
4586	Stem		
4587	Stormy		
4588	Straight Edge LED Undercabinet Lights		
4589	Strandelier		
4590	Strip		
4591	Subzero	axo-light-subzero-collection	yl
4592	Sugar		
4593	Sunshade		
4594	Swing		
4595	Symmetry		
4598	Talak	artemide-talak-collection	yl
4599	Tamburo		
4600	Tandem		
4601	Taraxacum		
4602	Task		
4603	Tatu		
4604	Tau	bover-tau-collection	yl
4605	Taza		
4606	Teardrop		
4607	Tecto		
4608	Tenda Pharmacy		
4609	Teo		
4610	Tetra		
4611	Thick Thin		
4612	Tic Tac Toe		
4627	Transparence		
4626	Transformers		
4625	Trama		
4624	Trace		
4623	Torre		
4622	Topo		
4621	Tolomeo	artemide-tolomeo-collection	yv
4620	Todd		
4619	TL		
4618	Tizio	artemide-tizio-collection	yl
4617	Tivu		
4616	Tite		
4615	Titanic		
4614	Tigris		
4613	Tigra		
4581	Spot Telescoping		
4580	Spot		
4569	Small Nest		
4570	Smithfield		
4571	Soda		
4572	Soffione		
4573	Solara		
4568	Slim		
4567	Skygarden		
4564	Silantra	bover-silantra-collection	yl
4565	Silhouette		
4566	Simon Pearce Signature		
4562	Siam	bover-siam-collection	yl
4563	Sibilla		
4561	Shinto		
4559	Scotch		
4560	Set Up Shades		
4558	Sconces		
4556	Scavo		
4557	Slight		
4555	Saucer		
4553	Saturnia		
4554	Saturnia		
4552	Saturn		
4551	Sarah		
4549	Sara		
4550	Sara		
4547	Sail		
4548	Sandwich		
4546	Round		
6982	Bamboo		
6981	Lim		
4856	Hutton		
4857	Jules		
4858	Katia		
4859	Omni		
4860	Reese		
4158	Anisha		
